accuracy,precision,recall,f1,auc_roc,tn,fp,fn,tp,fpr,fnr,condition,dataset,seed,time_s
0.9912179240029131,0.9932278300541774,0.9921669159011607,0.9926970895229953,0.9996131007757282,18410,190,220,27866,0.01021505376344086,0.00783308409883928,Full LAWE-IDS,unsw-nb15,42,10.3
0.9911108255151437,0.9935433239396425,0.9916684469130528,0.9926050000890964,0.9996107883696695,18419,181,234,27852,0.009731182795698925,0.008331553086947234,No Feature Gating,unsw-nb15,42,9.2
0.9909608876322666,0.9917869586859134,0.9931994588050986,0.992492706183733,0.9994816190517756,18369,231,191,27895,0.012419354838709677,0.006800541194901375,Fixed Weights,unsw-nb15,42,0.3
0.990896628539605,0.9909132857700635,0.9939827672149826,0.992445653139942,0.9996138377594468,18344,256,169,27917,0.013763440860215054,0.006017232785017447,No Self-Attention,unsw-nb15,42,23.1
0.9911965043053592,0.9928060116101001,0.9925585701061027,0.9926822754384403,0.9996100724426282,18398,202,209,27877,0.010860215053763441,0.007441429893897316,No CatBoost,unsw-nb15,42,8.6
0.9970374360355507,0.9976177130044843,0.9962216624685138,0.9969191989917379,0.9999705631728112,7689,17,27,7119,0.002206073189722294,0.003778337531486146,Full LAWE-IDS,nsl-kdd,42,17.9
0.9971720980339348,0.9981767180925666,0.9959417856143297,0.9970579994396189,0.9999699639036581,7693,13,29,7117,0.0016869971450817545,0.004058214385670305,No Feature Gating,nsl-kdd,42,17.5
0.9971047670347428,0.9980367409900435,0.9959417856143297,0.9969881627792954,0.9999659869356419,7692,14,29,7117,0.0018167661562418895,0.004058214385670305,Fixed Weights,nsl-kdd,42,0.1
0.9970374360355507,0.997896803140774,0.9959417856143297,0.9969183359013868,0.9999685474492962,7691,15,29,7117,0.0019465351674020244,0.004058214385670305,No Self-Attention,nsl-kdd,42,9.7
0.9969027740371668,0.9978962131837307,0.9956619087601455,0.9967778089100588,0.9999688016846946,7691,15,31,7115,0.0019465351674020244,0.004338091239854464,No CatBoost,nsl-kdd,42,8.6
0.99877,0.9950389794472005,0.9987297393425131,0.996880943324458,0.9999245624681512,80221,98,25,19656,0.0012201347128325802,0.0012702606574869163,Full LAWE-IDS,cicids2017,42,31.4
0.99879,0.9951898734177215,0.9986789289162136,0.9969313484314372,0.9999367246695084,80224,95,26,19655,0.001182783650194848,0.001321071083786393,No Feature Gating,cicids2017,42,31.3
0.99886,0.9957938478690519,0.9984248767847163,0.9971076267316182,0.999743291548329,80236,83,31,19650,0.0010333793996439198,0.0015751232152837762,Fixed Weights,cicids2017,42,0.8
0.9988,0.9952904238618524,0.9986281184899142,0.9969564776301105,0.9999457513502797,80226,93,27,19654,0.0011578829417696933,0.0013718815100858695,No Self-Attention,cicids2017,42,21.3
0.99877,0.9952395421857592,0.9985264976373152,0.9968803104471555,0.9999264678828601,80225,94,29,19652,0.0011703332959822708,0.001473502362684823,No CatBoost,cicids2017,42,34.6
0.99221,0.991484379158018,0.9946783896344285,0.9930788162021448,0.9997327039967322,43334,480,299,55887,0.010955402382800019,0.005321610365571495,Full LAWE-IDS,ton-iot,42,14.8
0.99185,0.9894630765694888,0.9961022318727085,0.992771554514896,0.999686277157898,43218,596,219,55967,0.013602957958643356,0.003897768127291496,No Feature Gating,ton-iot,42,14.8
0.99202,0.9917258522727272,0.994091054711138,0.9929070449576023,0.9996280344579507,43348,466,332,55854,0.010635869813301684,0.005908945288861994,Fixed Weights,ton-iot,42,0.3
0.99228,0.9913982690124858,0.9948919659701705,0.993142044949809,0.999732578069205,43329,485,287,55899,0.011069521157620851,0.005108034029829495,No Self-Attention,ton-iot,42,14.6
0.99221,0.991379769062949,0.9947851778022995,0.9930795540354462,0.9997301409653374,43328,486,293,55893,0.011092344912585018,0.005214822197700495,No CatBoost,ton-iot,42,20.8
0.99647,0.9987900910507752,0.9975933227507809,0.9981913481885302,0.9995896613659321,2237,118,235,97410,0.05010615711252654,0.00240667724921911,Full LAWE-IDS,cicids2023,42,11.4
0.99669,0.9986778993973681,0.99793128168365,0.9983044509443337,0.9995869760459675,2226,129,202,97443,0.05477707006369427,0.0020687183163500436,No Feature Gating,cicids2023,42,11.5
0.99669,0.9987699120487115,0.9978391110655948,0.9983042945916731,0.9995953407632984,2235,120,211,97434,0.050955414012738856,0.0021608889344052434,Fixed Weights,cicids2023,42,0.3
0.99655,0.9986674866748667,0.9977981463464591,0.9982326272380319,0.9995831383214837,2225,130,215,97430,0.055201698513800426,0.002201853653540888,No Self-Attention,cicids2023,42,12.8
0.99666,0.9987494234021834,0.9978288698858109,0.9982889344262295,0.9995857997236186,2233,122,212,97433,0.05180467091295117,0.0021711301141891545,No CatBoost,cicids2023,42,8.8
