dataset,n_train,n_val,n_test,n_features,threshold,accuracy,precision,recall,f1,auc_roc,fpr,fnr,tp,tn,fp,fn,fit_time_s,eval_time_s,use_optuna,seed
bot-iot,350000,50000,100000,11,0.3,1.0,1.0,1.0,1.0,0.9999,0.1538,0.0,99986,11,2,1,1832.6,43.914,False,42
unsw-nb15,163398,23343,46686,42,0.49,0.991,0.9935,0.9915,0.9925,0.9996,0.0097,0.0085,27847,18419,181,239,1089.1,21.4175,False,42
nsl-kdd,118813,14852,14852,41,0.49,0.997,0.9975,0.9964,0.9969,1.0,0.0023,0.0036,7120,7688,18,26,674.3,6.9122,False,42
cicids2017,320000,80000,100000,77,0.41,0.9988,0.9954,0.9987,0.9971,0.9999,0.0011,0.0013,19655,80229,90,26,2483.4,52.0803,False,42
ton-iot,350000,50000,100000,77,0.57,0.9922,0.9914,0.9949,0.9931,0.9997,0.0111,0.0051,55898,43327,487,288,2144.8,49.1605,False,42
cicids2023,350000,50000,100000,46,0.34,0.9965,0.9988,0.9976,0.9982,0.9996,0.0501,0.0024,97414,2237,118,231,5776.1,50.3403,False,42
unsw-nb15,163398,23343,46686,42,0.48,0.9913,0.9935,0.992,0.9928,0.9995,0.0098,0.008,27862,18418,182,224,934.3,22.4036,False,43
nsl-kdd,118813,14852,14852,41,0.51,0.9962,0.9976,0.9945,0.9961,1.0,0.0022,0.0055,7107,7689,17,39,1085.1,7.102,False,43
cicids2017,320000,80000,100000,77,0.57,0.9987,0.996,0.9976,0.9968,0.9999,0.001,0.0024,19634,80240,79,47,4948.5,48.8359,False,43
ton-iot,350000,50000,100000,77,0.48,0.9925,0.9898,0.997,0.9934,0.9997,0.0132,0.003,56018,43234,580,168,1969.9,52.7781,False,43
cicids2023,350000,50000,100000,46,0.38,0.9967,0.9989,0.9977,0.9983,0.9996,0.0437,0.0023,97422,2252,103,223,7572.0,53.4636,False,43
unsw-nb15,163398,23343,46686,42,0.49,0.991,0.993,0.992,0.9925,0.9995,0.0105,0.008,27860,18405,195,226,4081.6,30.1849,False,44
nsl-kdd,118813,14852,14852,41,0.36,0.9965,0.9958,0.9969,0.9964,0.9999,0.0039,0.0031,7124,7676,30,22,1665.1,13.291,False,44
cicids2017,320000,80000,100000,77,0.7,0.9989,0.9964,0.9982,0.9973,1.0,0.0009,0.0018,19645,80249,70,36,4045.8,104.0044,False,44
ton-iot,350000,50000,100000,77,0.44,0.9931,0.9908,0.997,0.9939,0.9998,0.0118,0.003,56016,43296,518,170,3163.1,89.3738,False,44
cicids2023,350000,50000,100000,46,0.38,0.9966,0.9989,0.9977,0.9983,0.9996,0.0471,0.0023,97420,2244,111,225,6930.5,56.7778,False,44
